Time,Propellant mass (kg),Chamber pressure (Pa),Throat diameter (m),Nozzle inlet gamma,Nozzle efficiency,Exit static pressure (Pa),Area ratio,Vapour Mass (kg),Liquid Density (kg/m^3),Liquid Mass (kg),Solid Fuel Mass (kg),Solid Fuel Density (kg/m^3),Solid Fuel Outer Diameter (m),Solid Fuel Length (m)
20.35000000000038,4.141250717798098,639429.3256050785,0.0432,1.3144,0.97,18737.379172722543,4.5,2.867406359350795,890.009232671312,0,1.273844358447303,935,0.112,1.33
20.360000000000383,4.133871686667539,638323.4792374324,0.0432,1.3144,0.97,18704.974242470467,4.5,2.8619086704313768,890.009232671312,0,1.2719630162361621,935,0.112,1.33
20.370000000000385,4.126505419410897,637219.3380464744,0.0432,1.3144,0.97,18672.61927949528,4.5,2.856422494745593,890.009232671312,0,1.2700829246653043,935,0.112,1.33
20.380000000000386,4.119151896005713,636116.928905641,0.0432,1.3144,0.97,18640.315071276924,4.5,2.8509478125596917,890.009232671312,0,1.2682040834460206,935,0.112,1.33
20.390000000000388,4.111811096502398,635016.2455111557,0.0432,1.3144,0.97,18608.06143309404,4.5,2.8454846042081985,890.009232671312,0,1.2663264922942,935,0.112,1.33
20.40000000000039,4.104483000925725,633917.2900811614,0.0432,1.3144,0.97,18575.858429945507,4.5,2.840032850005453,890.009232671312,0,1.264450150920272,935,0.112,1.33
20.41000000000039,4.097167589300439,632820.0626178986,0.0432,1.3144,0.97,18543.706061896974,4.5,2.8345925302686252,890.009232671312,0,1.2625750590318139,935,0.112,1.33
20.420000000000393,4.08986484164505,631724.5636605867,0.0432,1.3144,0.97,18511.604344749343,4.5,2.829163625312156,890.009232671312,0,1.2607012163328941,935,0.112,1.33
20.430000000000394,4.082574737973748,630630.7935826683,0.0432,1.3144,0.97,18479.553289445706,4.5,2.8237461154494907,890.009232671312,0,1.2588286225242573,935,0.112,1.33
20.440000000000396,4.075297258296089,629538.7527860916,0.0432,1.3144,0.97,18447.552907764468,4.5,2.8183399809927976,890.009232671312,0,1.2569572773032918,935,0.112,1.33
20.450000000000397,4.068032382617481,628448.4416286146,0.0432,1.3144,0.97,18415.60321018911,4.5,2.8129452022534394,890.009232671312,0,1.2550871803640415,935,0.112,1.33
20.4600000000004,4.060780090939264,623993.0430603193,0.0432,1.3128,0.97,18343.445850831682,4.5,2.807561759542048,890.009232671312,0,1.253218331397216,935,0.112,1.33
20.4700000000004,4.0535303209633184,623776.0740904871,0.0432,1.3128,0.97,18337.067641020385,4.5,2.802180626717889,890.009232671312,0,1.251349694245429,935,0.112,1.33
20.480000000000402,4.046295710231452,622471.7584197958,0.0432,1.3128,0.97,18298.724835529516,4.5,2.7968131371495817,890.009232671312,0,1.2494825730818706,935,0.112,1.33
20.490000000000403,4.039072984736836,621449.141564214,0.0432,1.3128,0.97,18268.663095058,4.5,2.7914563528396146,890.009232671312,0,1.2476166318972215,935,0.112,1.33
20.500000000000405,4.0318629614910115,620356.2282231929,0.0432,1.3128,0.97,18236.534857550174,4.5,2.786111004647839,890.009232671312,0,1.245751956843172,935,0.112,1.33
20.510000000000407,4.024665404967759,619283.5797953617,0.0432,1.3128,0.97,18205.00234517407,4.5,2.7807768796597374,890.009232671312,0,1.2438885253080212,935,0.112,1.33
20.520000000000408,4.017480350579477,618207.8844520961,0.0432,1.3128,0.97,18173.380263004034,4.5,2.7754540078701204,890.009232671312,0,1.242026342709357,935,0.112,1.33
20.53000000000041,4.010307763951152,617135.1467716222,0.0432,1.3128,0.97,18141.8451268791,4.5,2.7701423567192145,890.009232671312,0,1.2401654072319381,935,0.112,1.33
20.54000000000041,4.003147628689883,616063.8195554805,0.0432,1.3128,0.97,18110.35145399865,4.5,2.7648419097670733,890.009232671312,0,1.2383057189228095,935,0.112,1.33
20.550000000000413,3.995999923763384,614994.3019797463,0.0432,1.3128,0.97,18078.91097889211,4.5,2.7595526464192908,890.009232671312,0,1.236447277344093,935,0.112,1.33
