Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
12.12,4,0.1410855972666243164107039580,0.186675105211977,0.186675105211977,0.141775471839662,0.141775471839662,0.637143763334501,0.6486135102251530661478983168,0.4316549326531150661478983168,0.216958577572038,9.290702756203113495246593993,132.73178708845032977480126434,132.73178734753904109547900438,1804621000
12.13,4,0.1410642631401303111657032095,0.186632991345611,0.186632991345611,0.14175403339443,0.14175403339443,0.636848839684152,0.6483163672791802457232462646,0.4314400181723882457232462646,0.216876349106792,9.286446496930261340875807847,132.71413388000494914939475379,132.71413413654611689005008851,1806110000
12.14,4,0.1410429638227450544406928735,0.18659094135879,0.18659094135879,0.141732629928515,0.141732629928515,0.636554328104817,0.6480196398564483134153695676,0.4312253773656833134153695676,0.216794262490765,9.282196189586525541657545079,132.696475800737607496214452,132.69647605472815346466008298,1807599000
12.15,4,0.1410217001903010849738287665,0.186548944747287,0.186548944747287,0.141711262322033,0.141711262322033,0.636260065762058,0.6477231647864392842634539015,0.4310108472181842842634539015,0.216712317568255,9.277949496926456134155806365,132.67881451320337183778588613,132.67881476464050838209371481,1809088000
12.16,4,0.1410004808626508000420159107,0.186507021920905,0.186507021920905,0.141689939236984,0.141689939236984,0.635966220354817,0.6474271107833040556431222271,0.4307965965997380556431222271,0.216630514183566,9.273708835602234548891569581,132.66117178678839668300174088,132.66117203567257152474364478,1810577000
12.17,4,0.1409793059885215280331232017,0.186465171263444,0.186465171263444,0.141668660822822,0.141668660822822,0.635672766627854,0.6471314525405822612214661152,0.4305826003595852612214661152,0.216548852180997,9.269473843125544198471858205,132.64357043636854531927965744,132.64357068270367661903020838,1812066000
12.18,4,0.1409581650641546468672751043,0.186423372900538,0.186423372900538,0.14164741652443,0.14164741652443,0.635379571678266,0.6468360560927512869900528810,0.4303687246878992869900528810,0.216467331404852,9.265242600581578715503695711,132.62593813940527203554389741,132.62593838318430850695203418,1813555000
12.19,4,0.1409370686302952326379049816,0.186381643029419,0.186381643029419,0.141626216934092,0.141626216934092,0.635086715290665,0.6465410021599324853083205193,0.4301550504605024853083205193,0.21638595169943,9.261016264200976654465037178,132.60831599690324935701135843,132.60831623812534149636108091,1815044000
12.20,4,0.1409160163483965737460659527,0.186339985085267,0.186339985085267,0.141605061711608,0.141605061711608,0.634794251467388,0.6462463448525419180344210218,0.4299416319435089180344210218,0.216304712909033,9.25679560905833881796290608,132.59071067346119593154451835,132.59071091212648119617810101,1816533000
12.21,4,0.1408949985435337285284969478,0.186298381136417,0.186298381136417,0.141583941134744,0.141583941134744,0.63450206314759,0.6459519661440406702982202938,0.4297283512660776702982202938,0.216223614877963,9.252578944548011408604325896,132.57310254621455470707219311,132.57310278232021024835782732,1818022000
